Rank,Similarity Score,AI Description,Original Label,Tags,Label Quality
1,0.6484916,"Bass-line with Clean, Dark, and Energetic Character",Dubstep Bass Line - Hard,"dynamic, clean, dark, dry, energetic",0.31831
2,0.64728886,Bass-line with aggressive and dynamic slides,UK Drill 808 with Smooth Slides,"aggressive, dynamic, heavy, energetic",0.1598
3,0.63499355,Analog 808 Bass-Line with Distorted Staccato Hits,808 Rap Type Bass - Line Staccato Hits,"cold, anxious, staccato, low, pulsating",0.43376
4,0.6213395,Digital Synth Bass with Calm and Dreamy Texture,Calm Synth Bass Line,"ambient, chillout, soft, chilled, calm",0.38728
5,0.6199795,Sub-bass with Pulsating Ambient Texture,Low Pulsating Bass,"dynamic, ambient, full, soft, echoing",0.41741
6,0.61741936,"Analog Synth Bass with Hard, Dark, and Dry Texture",Phonk Bass Shot - Midnight Hit,"dynamic, hard, clean, analog, dark",0.28416
7,0.6152083,"Sub-bass with flowing and heavy timbre, short one-shot articulation",Spring 808 Bass,"short, one shot, flowing, heavy",0.40294
8,0.61345935,"Analog Synth Bass with Warm, Flowing Character",''Periord'' - Heavy Bass Progression,"short, one shot, warm, flowing",0.48288
9,0.61250454,"Sub-bass with smooth, soft timbre",Smooth Sub Bass,"ambient, chillout, soft, chilled, calm",0.25705
10,0.6119232,"Digital Synth Bass with Sharp, Spiky Texture and Heavy, Dark Ambience",Sharp Spikey Bass Line,"eerie, dynamic, gloomy, ambient, dark",0.19226
